Molecule: ./no_chain/4n6z 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1[16*], New ligand: [16*]c1cc[nH+]cc1[16*], Score: tensor([0.3789]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1[16*], New ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.5653]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.6709]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.5635]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, New ligand: [1*]C(=O)c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.6946]) 
Step: add fragment, Previous ligand: [1*]C(=O)c1cc[nH+]cc1N1CCC[C@H]([NH3+])C1, New ligand: [NH3+][C@H]1CCCN(C(=O)c2cc[nH+]cc2N2CCC[C@H]([NH3+])C2)C1, Score: tensor([0.5920]) 
Step: remove fragment, Previous ligand: [NH3+][C@H]1CCCN(C(=O)c2cc[nH+]cc2N2CCC[C@H]([NH3+])C2)C1, New ligand: [16*]c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.6470]) 
Step: remove fragment, Previous ligand: [16*]c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.6470]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, New ligand: [1*]C(=O)c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.7000]) 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c[nH+]ccc1C(=O)N1CCC[C@H]([NH3+])C1, New ligand: [6*]C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.4549]) 
Step: remove fragment, Previous ligand: [6*]C(=O)N1CCC[C@H]([NH3+])C1, New ligand: [6*]C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.4549]) 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.7285]) 
Step: remove fragment, Previous ligand: Nc1nccnc1C(=O)N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1C(=O)N1CCC[C@H]([NH3+])C1, Score: tensor([0.7285]) 
Step: remove fragment, Previous ligand: Nc1nccnc1C(=O)N1CCC[C@H]([NH3+])C1, New ligand: [14*]c1nccnc1N, Score: tensor([0.4829]) 
Step: add fragment, Previous ligand: [14*]c1nccnc1N, New ligand: Nc1nccnc1-c1nccnc1N, Score: tensor([0.5735]) 
Step: remove fragment, Previous ligand: Nc1nccnc1-c1nccnc1N, New ligand: [14*]c1nccnc1N, Score: tensor([0.4845]) 
Step: remove fragment, Previous ligand: [14*]c1nccnc1N, New ligand: [14*]c1nccnc1N, Score: tensor([0.4845]) 
Step: add fragment, Previous ligand: [14*]c1nccnc1N, New ligand: [16*]c1cc[nH+]cc1-c1nccnc1N, Score: tensor([0.6849]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1nccnc1N, New ligand: [16*]c1cc[nH+]cc1-c1cc[nH+]cc1-c1nccnc1N, Score: tensor([0.6076]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1cc[nH+]cc1-c1nccnc1N, New ligand: [14*]c1nccnc1N, Score: tensor([0.4853]) 
Step: add fragment, Previous ligand: [14*]c1nccnc1N, New ligand: [5*]Nc1nccnc1N, Score: tensor([0.4779]) 
Step: add fragment, Previous ligand: [5*]Nc1nccnc1N, New ligand: [16*]c1cc[nH+]cc1Nc1nccnc1N, Score: tensor([0.6639]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1Nc1nccnc1N, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
Step: remove fragment, Previous ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
Step: remove fragment, Previous ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
Step: remove fragment, Previous ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
Step: remove fragment, Previous ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
Step: remove fragment, Previous ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: Nc1nccnc1Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.8451]) 
